Issue Type,Summary,Description,Epic Name,Labels
Task,Add deleted_at field,Soft delete support,Quality Tests & Optimization,models
Task,Custom QuerySet and Manager,Filter deleted records,Quality Tests & Optimization,models

Epic,Production Hardening & Security,Prepare system for production,,
Story,Environment configuration,Secure settings,Production Hardening & Security,config
Task,Disable DEBUG,Turn off debug mode,Production Hardening & Security,config
Task,Move SECRET_KEY to env vars,Secure secrets,Production Hardening & Security,config
Task,Configure ALLOWED_HOSTS,Restrict domains,Production Hardening & Security,config
Story,Email setup,Enable notifications,Production Hardening & Security,email
Task,Configure SMTP,Email backend setup,Production Hardening & Security,email
Task,Invitation and notification emails,Send system emails,Production Hardening & Security,email
Story,Security hardening,Lock down app,Production Hardening & Security,security
Task,Restrict CORS,Allow only frontend domains,Production Hardening & Security,security
Task,Enforce HTTPS,Secure traffic,Production Hardening & Security,security
Task,CSRF and auth header validation,Prevent request abuse,Production Hardening & Security,security
Story,Final production checks,Pre-launch validation,Production Hardening & Security,release
Task,Run Django security checks,Audit vulnerabilities,Production Hardening & Security,release
Task,Validate migrations,Test DB migrations,Production Hardening & Security,release
Task,Squash migrations,Clean migration history,Production Hardening & Security,release
